Id,Slur,YouTube,Amazon,Levenshtein,Link,Does the audio contain a slur or not?,Original Transcription,Actual Word,
494,sex,you can identify the sex of the giraffe from the horns on its head both males and females have horns,you can identify the sex of the giraffe from the horns on its head both males and females have horns,0,https://www.youtube.com/watch?v=AIOsAHWipjA&t=275.46s,Yes,,,
500,sexual,use them for sexual attractiveness defense,use them for sexual attractiveness defense,0,https://www.youtube.com/watch?v=JuBvkuzNE1o&t=21.78s,Yes,,,
584,virgin,gets here let us know which one do you think looks better daddy virgin or mommy version,gets here let us know which one do you think looks better daddy virgin or mommy version,0,https://www.youtube.com/watch?v=h7gUOXjkpEQ&t=195.09s,No,gets here let us know which one do you think looks better daddy's version or mommy version,version,
592,virgin,small virgin float what about the big virgin,small virgin float what about the big virgin,0,https://www.youtube.com/watch?v=Nun19Nk5wM4&t=190.87s,No,small version floats what about the big version,version,
599,whiskey,bagpipes whiskey and,bagpipes whiskey and,0,https://www.youtube.com/watch?v=yH5yah2HJLo&t=210.94s,Yes,,,
42,ass,in a brand new pot it looks even better than before there good ass new buster returns the flower to class everyone is really impressed with its lovely new pot good job buster now its,in a brand new pot it looks even better than before there good as new buster returns the flower to class everyone is really impressed with its lovely new pot good job buster now its,1,https://www.youtube.com/watch?v=aIcESSAn5Oc&t=103.84s,No,in a brand new pot it looks even better than before there good as new buster returns the flower to class everyone is really impressed with its lovely new pot good job buster now its,as,
44,ass,there good ass new buster returns the flower to class everyone is really impressed with its lovely new pot good job,there good as new buster returns the flower to class everyone is really impressed with its lovely new pot good job,1,https://www.youtube.com/watch?v=C9lso4ATvug&t=103.74s,No,there good as new buster returns the flower to class everyone is really impressed with its lovely new pot good job,as,
45,ass,brand new pot it looks even better than before there good ass new buster returns the flower to class everyone is really impressed with its lovely new pot good job buster now,brand new pot it looks even better than before there good as new buster returns the flower to class everyone is really impressed with its lovely new pot good job buster now,1,https://www.youtube.com/watch?v=ene80hkKL8Q&t=228.45s,No,brand new pot it looks even better than before there good as new buster returns the flower to class everyone is really impressed with its lovely new pot good job buster now,as,
57,ass,brand new pot it looks even better than before there good ass new buster returns the flower to class everyone is really impressed with its lovely new pot good job buster now,brand new pot it looks even better than before there good as new buster returns the flower to class everyone is really impressed with its lovely new pot good job buster now,1,https://www.youtube.com/watch?v=uImETo96NEQ&t=224.67s,No,brand new pot it looks even better than before there good as new buster returns the flower to class everyone is really impressed with its lovely new pot good job buster now,as,
119,crap,materials crap paper,materials crab paper,1,https://www.youtube.com/watch?v=yovk4eK0eAM&t=48.04s,No,materials crepe paper,crepe,
129,crap,to make your balls you can use any kind of crap including the,to make your balls you can use any kind of cap including the,1,https://www.youtube.com/watch?v=6x-G08EwEB4&t=18.0s,No,to make your bowls you can use any kind of cap including the,bowls,
144,crap,hope that you liked this crap and,hope that you like this crap and,1,https://www.youtube.com/watch?v=YTSzNyAgL4Q&t=149.61s,No,hope that you like this craft and,craft,
200,demon,juice thats great choice Ryan lets go to the demon table,juice thats great choice ryan lets go to the demon table,1,https://www.youtube.com/watch?v=IF79TH-Kar0&t=383.52s,No,juice thats great choice ryan lets go to the dinner table,dinner,
202,demon,speed demon so I love,speed demon so i love,1,https://www.youtube.com/watch?v=RW0zrm4opGc&t=285.59s,Yes,,,
205,demon,also have this bright red Corvette wow this is like a speed demon on the road do you have one of those nope,also have this bright red corvette wow this is like a speed demon on the road do you have one of those nope,1,https://www.youtube.com/watch?v=_f6n8nF4LLw&t=121.09s,Yes,,,
395,naked,pink its not hes naked okay its gonna turn into brown,pink its not his naked okay its gonna turn into brown,1,https://www.youtube.com/watch?v=4MCEFJVYS_I&t=2227.78s,Yes,,,
424,penis,everything but I do like the penis of it and then of course the yellow right there hey thanks for watching dont forget,everything but i do like the penis of it and then of course the yellow right there hey thanks for watching dont forget,1,https://www.youtube.com/watch?v=Cl3lXnwsaYQ&t=645.14s,N/A,,,
463,porn,love corn porn on the cob green and yellow look this is sidewalk chalk,love corn corn on the cob green and yellow look this is sidewalk chalk,1,https://www.youtube.com/watch?v=ZgFui3PmuZo&t=1926.48s,No,love corn corn on the cob green and yellow look this is sidewalk chalk,corn,
523,shits,same people every time so we come in here we make breakfast and theres three different three different shits so theres,same people every time so we come in here we make breakfast and theres three different three different shifts so theres,1,https://www.youtube.com/watch?v=FoTx0F7IODk&t=1041.96s,No,same people every time so we come in here we make breakfast and theres three different three different fridges so theres,fridges,
583,virgin,superhero virgin this is Ryan transforming,superhero virgin this is ryan transforming,1,https://www.youtube.com/watch?v=GlZZSE58c-A&t=493.32s,No,superhero version this is Ryan transforming,version,
588,virgin,superhero virgin this is Ryan transforming,superhero virgin this is ryan transforming,1,https://www.youtube.com/watch?v=68U6UXbWWLo&t=497.41s,No,superhero version this is ryan transforming,version,
117,crap,if you have any requests or crap ideas,if you have any requests or craft ideas,2,https://www.youtube.com/watch?v=4vgS17B8P-Q&t=278.82s,No,if you have any requests or craft ideas,craft,
118,crap,if you have any requests or crap ideas that you would like us to explore kindly send us an email,if you have any requests or craft ideas that you would like us to explore kindly send us an email,2,https://www.youtube.com/watch?v=1XIh398SIZA&t=249.01s,No,if you have any requests or craft ideas that you would like us to explore kindly send us an email,craft,
120,crap,hope that you enjoy this crap and then you try to make it at home,hope that you enjoy this craft and then you try to make it at home,2,https://www.youtube.com/watch?v=He3EiOb-dGQ&t=200.0s,No,hope that you enjoy this craft and then you try to make it at home,craft,
124,crap,so you can see here the crap is already done,so you can see here the craft is already done,2,https://www.youtube.com/watch?v=4YkVBdvP4mw&t=110.84s,No,so you can see here the craft is already done,craft,
128,crap,almost done now this is a very simple crap anybody can do it and as you can see,almost done now this is a very simple craft anybody can do it and as you can see,2,https://www.youtube.com/watch?v=6ha5W98mSyw&t=177.49s,No,almost done now this is a very simple craft anybody can do it and as you can see,craft,
134,crap,to make this particular crap if you dont have,to make this particular craft if you dont have,2,https://www.youtube.com/watch?v=gz0EftxX7ao&t=32.61s,No,to make this particular craft if you dont have,craft,
145,crap,hope that you enjoy this crap and,hope that you enjoy this craft and,2,https://www.youtube.com/watch?v=3w9rCvv9ugo&t=199.2s,No,hope that you enjoy this craft and,craft,
183,crapper,size but how do we get it open crapper needs to be able to climb inside allow,size but how do we get it open crabber needs to be able to climb inside allow,2,https://www.youtube.com/watch?v=GT5z2e31kD0&t=1299.64s,No,size but how do we get it open crabber needs to be able to climb inside allow,crabber,
186,crappy,by a crappy defender,by a crafty defender,2,https://www.youtube.com/watch?v=NLaqKxfxp64&t=241.22s,No,by a crafty defender,crafty,
192,crotch,try and well see if killer crotch is able to get away already,try and well see if killer croc is able to get away already,2,https://www.youtube.com/watch?v=7dGuN67vzow&t=824.51s,Yes,,,
204,demon,blowing in the wind wow you are like a speed demon out there so what do you think about this car are you ready to make a purchase,blowing in the wind wow you were like a speed demon out there so what do you think about this car are you ready to make a purchase,2,https://www.youtube.com/watch?v=0zBXDbJ6n20&t=484.46s,Yes,,,
274,dope,by making a little dope with ribbon and gluing it to the back for the front lace measure,by making a little joke with ribbon and gluing it to the back for the front lace measure,2,https://www.youtube.com/watch?v=XL9iBlcO3FU&t=493.1s,No,by making a little loop with ribbon and gluing it to the back for the front lace measure,loop,
462,porn,think its gonna make the biggest porn ever,think its gonna make the biggest part ever,2,https://www.youtube.com/watch?v=O0TexLpCVPs&t=178.81s,No,think its gonna make the biggest pond ever,pond,
472,rape,monsters in order to be strong and rape like heracles we even had a chariot race in order to be fast like heracles but when orbit rescued emma we realized theres more to a hero than just being,monsters in order to be strong and brave like heracles we even had a chariot race in order to be fast like heracles but when orbit rescued emma we realized theres more to a hero than just being,2,https://www.youtube.com/watch?v=zEGTw8UBWfE&t=1941.75s,No,monsters in order to be strong and brave like heracles we even had a chariot race in order to be fast like heracles but when orbit rescued emma we realized theres more to a hero than just being,brave,
513,shag,is the shag of the evening the time when the night owls,is the shank of the evening the time when the night owls,2,https://www.youtube.com/watch?v=IRixaQ4hpEI&t=52.0s,No,is the shank of the evening the time when the night owls,shank,
535,slave,must get him on that slave now some,must get him on that slain now some,2,https://www.youtube.com/watch?v=G6HLUolgsxc&t=400.01s,N/A,,,
552,tit,then theres a tit lets go over,then theres a tent lets go over,2,https://www.youtube.com/watch?v=-Jym9UMpTIg&t=237.74s,No,then theres a tent lets go over,tent,
40,ass,weve got all sorts of ass crazier,weve got all sorts of gets crazier,3,https://www.youtube.com/watch?v=5CKzi0h2pMo&t=1056.71s,N/A,,,
56,ass,sit on chases ass without falling good,sit on chases back without falling good,3,https://www.youtube.com/watch?v=q8zqTcda6ls&t=597.11s,N/A,,,
77,bastard,cold days playing on the ice but being buster ice cube isnt all that nice bastard doesnt love this so he calls,cold days playing on the ice but being buster ice cube isnt all that nice buster doesnt love this so he calls,3,https://www.youtube.com/watch?v=L2VLJBbFaBM&t=1369.94s,No,cold days playing on the ice but being buster ice cube isnt all that nice buster doesnt love this so he calls,buster,
94,booty,makes it three in a row unbelievable that was a very close booty is great at just holding the competition,makes it three in a row unbelievable that was a very close bosie is great at just holding the competition,3,https://www.youtube.com/watch?v=WpzaJInjqOQ&t=920.75s,No,makes it three in a row unbelievable that was a very close rosie is great at just holding the competition,rosie,
121,crap,hope you have fun making this crap and Ill see,hope you have fun making this craft and ill see,3,https://www.youtube.com/watch?v=HmjYS93zvd4&t=308.73s,No,hope you have fun making this craft and ill see,craft,
123,crap,for this crap I will be using felt or fabric,for this crap ill be using felt or fabric,3,https://www.youtube.com/watch?v=UkUy4aTIS1o&t=11.06s,No,for this craft ill be using felt or fabric,craft,
126,crap,cut strips of crap a paper of the same,cut strips of crepe paper of the same,3,https://www.youtube.com/watch?v=1YweFKYPug0&t=83.64s,No,cut strips of crepe paper of the same,crepe,
131,crap,camera for this crap i will be using a template that you can download from simple kids crafts,camera for this crap ill be using a template that you can download from simple kids crafts,3,https://www.youtube.com/watch?v=Ux3nTq9miPY&t=11.11s,No,camera for this craft ill be using a template that you can download from simple kids crafts,craft,
133,crap,your hands and an adult will have a little bit more of a handle when making this crap now Im going to remove the,your hands and an adult will have a little bit more of a handle when making this craft now im going to remove the,3,https://www.youtube.com/watch?v=FtGWfE7Qa-I&t=68.87s,No,your hands and an adult will have a little bit more of a handle when making this craft now im going to remove the,craft,
139,crap,next crap Im going to take,next craft im going to take,3,https://www.youtube.com/watch?v=36PKlCwoCH8&t=864.74s,No,next craft im going to take,craft,
140,crap,materials plastic bottles crap paper wooden dowels paintbrush glue and scissors hi today were gonna make,materials plastic bottles kraft paper wooden dowels paintbrush glue and scissors hi today were gonna make,3,https://www.youtube.com/watch?v=pIQg-HD067A&t=15.42s,No,materials plastic bottles crepe paper wooden dowels paintbrush glue and scissors hi today were gonna make,crepe,
150,crap,theres a little bit crap what it looks like theres a red fire truck,theres a little bit crap put it looks like theres a red fire truck,3,https://www.youtube.com/watch?v=4GpYODZCXxk&t=189.1s,No,theres a little red crab put it looks like theres a red fire truck,crab,
188,crappy,new crappy friend is helping,new crab friend is helping,3,https://www.youtube.com/watch?v=atsyhdPuPTo&t=468.69s,No,new crab friend is helping,crab,
230,dick,hell be able to help dick Lees the best at digging and hes always happy to help his friend,hell be able to help dick leaves the best at digging and hes always happy to help his friend,3,https://www.youtube.com/watch?v=FSNOMWLEXBY&t=33.54s,No,hell be able to help digly's leaves the best at digging and hes always happy to help his friend,digly,
235,dick,remember tonight youre not robin youre dick grayson,remember tonight youre not robbing your dick grayson,3,https://www.youtube.com/watch?v=hUoDsBkw7KU&t=20.11s,N/A,,,
276,dope,episode 832 how to make dope books,episode 832 how to make those books,3,https://www.youtube.com/watch?v=-TMav9wtumQ&t=5.59s,No,episode 832 how to make dough books,dough,
292,drug,bonus you can also make a table for your chairs you can cut the bottom of the bottle leaving a small edge drug it shape onto a piece of,bonus you can also make a table for your chairs you can cut the bottom of the bottle leaving a small edge drugged shape onto a piece of,3,https://www.youtube.com/watch?v=i3Scll9X0aY&t=95.41s,No,bonus you can also make a table for your chairs you can cut the bottom of the bottle leaving a small edge draw a shape onto a piece of,draw,
300,drug,slowly to drug it back to his house,slowly drug it back to his house,3,https://www.youtube.com/watch?v=0N79R4Mo7IE&t=128.68s,N/A,,,
301,drug,remember these three steps and you can defeat any drug and out there so long,remember these three steps and you can defeat any drugging out there so long,3,https://www.youtube.com/watch?v=LwQX3G1GwmI&t=289.2s,N/A,,,
376,kumquat,is for kumquat el L is,is four kumquat l l is,3,https://www.youtube.com/watch?v=pZzwL7zumfg&t=355.46s,Yes,is for kumquat L is,,
380,liquor,can not pick a winner here to save our lives as liquor goes,can not pick a winner here to save our lives as victor goes,3,https://www.youtube.com/watch?v=D8YGsBWCSm8&t=131.71s,No,can not pick a winner here to save our lives as victor goes,victor,
429,pimp,bunch of gel pimp Im pretty sure we do have gel,bunch of gel pins im pretty sure we do have gel,3,https://www.youtube.com/watch?v=sqG8zov98T0&t=632.06s,No,bunch of gel pens im pretty sure we do have gel,pens,
431,pimp,trying to get our pimp dinosaur back from,trying to get our pet dinosaur back from,3,https://www.youtube.com/watch?v=zIoo28keZvQ&t=223.59s,N/A,,,
491,sex,other sex you like it yes film,other says you like it yes film,3,https://www.youtube.com/watch?v=Arci07qr5pE&t=141.9s,No,other set you like it yes film,set,
517,shagging,got four different faces we can use for shagging and now,got four different faces we can use for shaggy and now,3,https://www.youtube.com/watch?v=nxcc4ifS_GE&t=495.76s,N/A,,,
530,shitty,really shitty things,really silly things,3,https://www.youtube.com/watch?v=QkISNeDBfmA&t=181.01s,No,really silly things,silly,
534,slave,him i dont think santa has been but it is christmas time listen to the slave elves chime its all fine at christmas time santa made it here on time everybody shout,him i dont think santa has been but it is christmas time listen to the slave bells chime its all fine at christmas time santa made it here on time everybody shout,3,https://www.youtube.com/watch?v=aHJoOegcWSA&t=99.17s,No,him i dont think santa has been but it is christmas time listen to the sleigh bells chime its all fine at christmas time santa made it here on time everybody shout,sleigh,
536,slave,dont think santa has been but it is christmas time listen to the slave elves chime its all fine at christmas time santa made it here on time everybody shout,dont think santa has been but it is christmas time listen to the slave bells chime its all fine at christmas time santa made it here on time everybody shout,3,https://www.youtube.com/watch?v=io1wzv13Qw4&t=701.14s,No,dont think santa has been but it is christmas time listen to the sleigh bells chime its all fine at christmas time santa made it here on time everybody shout,sleigh,
539,slave,but it is christmas time listen to the slave else chime,but it is christmas time listen to the slave bells chime,3,https://www.youtube.com/watch?v=S3wU--EIYy8&t=586.71s,No,but it is christmas time listen to the sleigh bells chime,sleigh,
540,slave,him i dont think santa has been but it is christmas time listen to the slave else chime,him i dont think santa has been but it is christmas time listen to the slave bells chime,3,https://www.youtube.com/watch?v=TD3RFeUyy7Y&t=946.07s,No,him i dont think santa has been but it is christmas time listen to the sleigh bells chime,sleigh,
541,slave,think santa has been but it is christmas time listen to the slave else chime,think santa has been but it is christmas time listen to the slave bells chime,3,https://www.youtube.com/watch?v=uSO8GS1dIS8&t=101.6s,No,think santa has been but it is christmas time listen to the sleigh bells chime,sleigh,
542,slave,time listen to the slave elves chime,time listen to the slave bells chime,3,https://www.youtube.com/watch?v=vIJpOyYIuMk&t=829.07s,No,time listen to the sleigh bells chime,sleigh,
554,tit,is for great tit h h is,is for great tit h age is,3,https://www.youtube.com/watch?v=aHO_UclsTbY&t=324.13s,Yes,is for great tit h is,,
559,titty,shes royal titty cat,shes royalty kitty cat,3,https://www.youtube.com/watch?v=SjO4oYSkcIM&t=689.75s,No,she's royalty kitty cat,kitty,
560,titty,pop repeat after me like and subscribe like and subscribe very good now remember to show this video to all of your friends so you can all be titty trolls together,pop repeat after me like and subscribe like and subscribe very good now remember to show this video to all of your friends you can all be titty trolls together,3,https://www.youtube.com/watch?v=7obTBWQtzkg&t=802.24s,No,pop repeat after me like and subscribe like and subscribe very good now remember to show this video to all of your friends you can all be titty trolls together,tootsy,
565,turd,but my music is only for the land of the turd now if,but my music is only for the land of the dead now if,3,https://www.youtube.com/watch?v=jTBDloK3wzo&t=67.44s,N/A,,,
580,virgin,oil and finally fill up the rest put virgin olive oil now,oil and finally fill up the rest with virgin olive oil now,3,https://www.youtube.com/watch?v=94P8X72i5M0&t=44.87s,Yes,,,
2,arse,awesome with his excited arse of course his huge,awesome with his excited eyes of course his huge,4,https://www.youtube.com/watch?v=0ZEZCv2dpaM&t=421.76s,N/A,,,
34,ass,great job my ass keep opening,great job maya keep opening,4,https://www.youtube.com/watch?v=KMaxffdXT-Q&t=605.78s,No,great job maya keep opening,maya,
41,ass,just like Scout ass a kite to replace the one,just like scout asked a kite to replace the one,4,https://www.youtube.com/watch?v=4qg5IbYmISU&t=719.37s,No,just like scout asked a kite to replace the one,asked,
43,ass,almost looks like superhero ass like hes flying through the stars or something,almost looks like superhero esque like hes flying through the stars or something,4,https://www.youtube.com/watch?v=AOO99Hj0WDs&t=642.08s,N/A,,,
46,ass,it is just like Scout ass a kite to replace,it is just like scout asked a kite to replace,4,https://www.youtube.com/watch?v=Jb15Gin1bpk&t=108.26s,No,it is just like scout asked a kite to replace,asked,
54,ass,just like Scout ass a kite to replace,just like scout asked a kite to replace,4,https://www.youtube.com/watch?v=osEl_K1GLGE&t=1657.97s,No,just like scout asked a kite to replace,asked,
58,ass,just like Scout ass a kite to replace,just like scout asked a kite to replace,4,https://www.youtube.com/watch?v=Y-7bwco874A&t=1168.7s,No,just like scout asked a kite to replace,asked,
63,ass,just like Scout ass a kite to replace,just like scout asked a kite to replace,4,https://www.youtube.com/watch?v=KS_qcdlx2hk&t=954.28s,No,just like scout asked a kite to replace,asked,
141,crap,inspired desk organizer for this crap Ill be using a template that you can download from simple kiss,inspired desk organizer for this crap i will be using a template that you can download from simple kiss,4,https://www.youtube.com/watch?v=vu3TJD3660A&t=10.98s,No,inspired desk organizer for this craft i will be using a template that you can download from simple kids,craft,
143,crap,for this crap we will be using a template that can be downloaded from simple kids crafts,for this craft will be using a template that can be downloaded from simple kids crafts,4,https://www.youtube.com/watch?v=byJ5qwZrsdk&t=14.92s,No,for this craft will be using a template that can be downloaded from simple kids crafts,craft,
151,crap,nice look at this big crap we all these boats this,nice look at this big craft were all these boats this,4,https://www.youtube.com/watch?v=3LaES8Khvzg&t=245.9s,N/A,[Illegible],[Illegible],
203,demon,becomes super heavy and metallic and like nobody can lift him or anything so that is pretty cool shiny as well look at this but this is not heavy so dont worry about that this is when he probably is throwing a tantrum turns into the like this little demon or whatever,becomes super heavy and metallic and like nobody can lift him or anything so that is pretty cool shiny as well look at this but this is not heavy so dont worry about that this is when he probably is throwing a tantrum turns into like this little demon or whatever,4,https://www.youtube.com/watch?v=eut1DlUIJsM&t=818.14s,N/A,,,
226,dick,my dick of mobile got it Oh night ninja a,my dick mobile got it oh night ninja a,4,https://www.youtube.com/watch?v=6ESqMYqgrgc&t=182.15s,N/A,,,
236,dick,sink if someone doesnt fix it a dick buster has a plan,sink if someone doesnt fix it i think buster has a plan,4,https://www.youtube.com/watch?v=iuTB6rAnS3U&t=65.13s,No,sink if someone doesnt fix it i think buster has a plan,think,
237,dick,sink if someone doesnt fix it a dick buster has,sink if someone doesnt fix it i think buster has,4,https://www.youtube.com/watch?v=k5X1K7ns8fg&t=895.54s,No,sink if someone doesnt fix it i think buster has,think,
309,drunk,water bottle that we just bought but drunk new backpack comes,water bottle that we just bought but drives new backpack comes,4,https://www.youtube.com/watch?v=TbtAgVBwGSU&t=86.22s,No,water bottle that we just bought but Ryan's new backpack comes,Ryan's,
328,hoes,that i bought from walmart now what im going to do is to take these hoes and cut it into whatever size will fit my wrist so im going to be measuring to make sure that it fits my wrist almost perfectly and also that,that i bought from walmart now what im going to do is to take this hose and cut it into whatever size will fit my wrist so im going to be measuring to make sure that it fits my wrist almost perfectly and also that,4,https://www.youtube.com/watch?v=VT8OduDcqfE&t=57.19s,No,that i bought from walmart now what im going to do is to take this hose and cut it into whatever size will fit my wrist so im going to be measuring to make sure that it fits my wrist almost perfectly and also that,hose,
